First Name,Last Name,Major,Career,Email
James ,Madison,POL,Government,madison553@princeton.edu
Alan,Turing,COS,Research,aturing19@princeton.edu
Cornel,West,PHI,Freelance,west42@princeton.edu
Eric,Schmidt,COS,Tech,eschmidt24@princeton.edu
John,Nash,ECO,Research,john@princeton.edu
Ted,Cruz,POL,Government,ted@senate.gov
Steve,Forbes,ENG,Publishing,steveforbes@forbes.com
Ellie ,Kemper,WWS,Performing Arts,ekemper08@princeton.edu
Brooke,Shields,HIS,Performing Arts,brookes11@princeton.edu
Wendy ,Kopp,WWS,Teaching,wendykopp@teachforamerica.org
Lisa,Jackson,EEB,Government,ljackson@government.gov
David,Remnick,ENG,Writing,remnick887@princeton.edu
James ,Stewart,POL,Acting,jamesstewart674@princeton.edu
Elena ,Kagan,POL,Government,kagan@supremecourt.gov
Jason,Garett,HIS,Sports,jgarett@nfl.com
Paul,Volcker,ECO,Government,paulv@reserve.gov
Ralph ,Nader,MOL,Writing,rnader34@princeton.edu
Bill,Bradley,ECO,Government,bbradley@senate.gov
Michael ,Lewis,ECO,Writing,mlewis82@princeton.edu
Terence,Tao,MAT,Research,terencetao5535@ucsd.eddu
